data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,type
238.8,241.23,193.78,210.75,192.17,235.18,248.44,247.89,269.22,702.71,562.41,373.17,202.68,371.15,211.47,227.63,52302,54528,44959,36253,34491,43469,48282,47668,55922,99263,99424,70526,39514,54527,40036,46328,1
243.1,226.88,194.85,217.68,213.56,212.08,240.27,281.71,261.65,685.74,540.29,348.96,181.31,407.48,208.2,226.54,52817,51649,45186,36917,36096,41729,45303,47935,50814,99366,96110,68215,36913,55108,41042,44667,1
234.83,222.3,196.32,219.38,207.3,205.63,246.94,302.8,254.68,650.44,504.84,350.6,201.66,400.96,221.35,247.96,49111,48827,43672,36694,35238,40152,44285,48677,50241,98643,90999,64509,37710,52153,42410,45922,1
227.04,234.13,192.64,202.39,194.72,199.72,242.11,293.93,256.4,614.62,462.75,361.35,221.09,364.1,237.64,255.72,47357,48908,44713,35729,33416,39091,45838,50325,49372,93485,87991,64406,37511,50849,44743,45857,1
242.18,250.95,203.68,196.65,176.31,205.89,224.84,272.16,238.64,581.98,435.43,395.11,230.2,307.75,260.91,255.71,47310,50120,47244,35108,32148,38346,45804,48492,46541,90986,86759,67698,39503,46411,46204,46612,1
239.17,243.37,216.89,194.33,168.99,214.24,205.59,237.98,251.59,553.54,416.56,403.28,214.22,332.88,266.52,242.56,46086,50521,46891,36179,31254,38199,43645,42254,47806,89149,85537,71568,39170,52408,46756,44888,1
239.11,230.26,221.3,189.73,164.29,215.29,213.47,221.05,264.57,543.83,404.6,407.83,195.21,319.5,260.24,240.68,46634,50889,46489,36081,31287,38377,42239,40724,51962,89952,82917,76211,39642,51277,43405,43346,1
210.23,210.12,213.51,186.36,156.77,211.37,201.16,214.26,277.66,545.6,388.57,400.22,191.83,347.7,254.17,246.35,44060,47448,43897,34740,28402,37323,40225,39607,54219,90168,81000,74220,38330,54401,41968,43350,1
205.68,205.51,196.39,168.29,153.23,192.59,194.31,235.11,269.8,558.52,437.82,395.46,199.19,327.89,251.89,258.95,45003,45896,44278,33145,28613,36302,41249,42171,52235,83901,84131,71355,39141,49802,42042,44974,1
214,199.65,191.8,172.29,153.73,191.24,183.47,216.74,252.8,490.63,454.76,381.03,206.9,352.98,254.77,244.34,44894,45651,42700,35820,29724,36099,41021,38676,47338,73687,87587,69764,38140,52665,43657,44654,1
